participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TOTAL_x,pre_total,P1,P2,P3i,P3ii,P4,P5,TOTAL_y,post_total,gain,normalized_gain,_pre_rank,pre_quartile
P133,0,0,1,1,0,0,0,0,0,1,3,3,1.0,2.0,1,1.0,1.5,0.5,7.0,7.0,4.0,0.5714285714285714,34.0,Q1
P134,0,1,0,1,0,0,1,0,1,1,5,5,0.0,2.0,1,1.0,1.5,0.5,6.0,6.0,1.0,0.2,98.0,Q3
P135,1,1,0,1,0,1,1,1,0,1,7,7,1.0,2.0,0,0.0,1.5,3.0,7.5,7.5,0.5,0.16666666666666666,143.0,Q4
P136,0,0,1,0,0,0,0,0,1,1,3,3,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5,4.5,0.6428571428571429,35.0,Q1
P137,1,0,0,0,0,1,0,1,1,1,5,5,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,5.0,1.0,99.0,Q3
P138,0,1,0,1,1,1,0,1,1,1,7,7,0.0,0.0,0,0.0,2.0,2.5,4.5,4.5,-2.5,-0.8333333333333334,144.0,Q4
P139,0,0,1,0,0,0,0,1,1,0,3,3,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0,6.0,0.8571428571428571,36.0,Q1
P140,0,1,1,0,1,0,1,1,0,1,6,6,1.0,0.0,1,1.0,0.5,2.0,5.5,5.5,-0.5,-0.125,121.0,Q4
P141,0,0,1,1,1,0,1,1,1,1,7,7,0.0,2.0,1,1.0,2.0,0.5,6.5,6.5,-0.5,-0.16666666666666666,145.0,Q4
P142,0,1,0,0,0,1,0,0,1,1,4,4,0.0,2.0,1,0.0,1.5,1.5,6.0,6.0,2.0,0.3333333333333333,68.0,Q2
P143,1,0,1,1,0,0,1,0,1,1,6,6,1.0,0.0,1,1.0,2.0,1.5,6.5,6.5,0.5,0.125,122.0,Q4
P144,1,1,0,0,0,0,1,0,1,1,5,5,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,3.5,0.7,100.0,Q3
P145,1,0,1,0,1,1,0,1,0,1,6,6,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5,1.5,0.375,123.0,Q4
P146,0,1,0,1,0,1,0,0,1,1,5,5,1.0,2.0,0,0.0,2.0,2.0,7.0,7.0,2.0,0.4,101.0,Q3
P147,1,1,0,1,1,1,1,1,1,1,9,9,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,-0.5,-0.5,150.0,Q4
P148,0,1,1,1,0,0,0,1,1,1,6,6,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5,1.5,0.375,124.0,Q4
P149,0,0,1,0,0,1,0,0,1,1,4,4,1.0,0.0,1,1.0,2.0,2.5,7.5,7.5,3.5,0.5833333333333334,69.0,Q2
P150,0,1,1,1,0,0,0,0,1,0,4,4,1.0,2.0,0,0.0,1.5,1.5,6.0,6.0,2.0,0.3333333333333333,70.0,Q2
